Image Filename,Original File,Cleaned File,Branding Removed Yes/No,Branding Still Visible Yes/No,Garment Altered Yes/No,Color Altered Yes/No,Embroidery/Fabric Altered Yes/No,Model/Product Shape Altered Yes/No,Quality Issue Yes/No,Approved For Shopify Yes/No,Reason
luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (121268 after vs 75889 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-green-magenta-mirror-skirt-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-green-magenta-mirror-skirt-set-for-festive-events-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-green-magenta-mirror-skirt-set-for-festive-events-image-2.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-black-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-black-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-black-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Unmasked lower/central logo-like branding still appears likely (score 242).
luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Unmasked lower/central logo-like branding still appears likely (score 224).
luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-blue-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,No,Yes,No,No,No,No,Yes,No,Unmasked lower/central logo-like branding still appears likely (score 166).
luxemia-black-mirror-skirt-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-black-mirror-skirt-set-for-festive-events-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-black-mirror-skirt-set-for-festive-events-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (102853 after vs 98172 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-black-mirror-skirt-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-black-mirror-skirt-set-for-festive-events-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-black-mirror-skirt-set-for-festive-events-image-3.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122695 after vs 122134 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-black-mirror-skirt-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-black-mirror-skirt-set-for-festive-events-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-black-mirror-skirt-set-for-festive-events-image-4.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (113279 after vs 101069 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122535 after vs 98914 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122437 after vs 110941 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-green-sequined-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122695 after vs 122695 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-bottle-green-moti-cape-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-bottle-green-moti-cape-set-for-festive-events-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-bottle-green-moti-cape-set-for-festive-events-image-3.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-bottle-green-moti-cape-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-bottle-green-moti-cape-set-for-festive-events-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-bottle-green-moti-cape-set-for-festive-events-image-4.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-bottle-green-moti-cape-set-for-festive-events-image-5.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-bottle-green-moti-cape-set-for-festive-events-image-5.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-bottle-green-moti-cape-set-for-festive-events-image-5.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (88927 after vs 42748 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Unmasked lower/central logo-like branding still appears likely (score 180). Warning: large mask area; inspect for garment/background distortion.
luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-3.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-cream-mirror-pre-draped-saree-with-blouse-for-weddings-image-4.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122480 after vs 73182 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122695 after vs 121014 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122597 after vs 120848 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pink-mirror-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122547 after vs 116838 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-top-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-top-set-for-festive-events-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-top-set-for-festive-events-image-1.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-top-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-top-set-for-festive-events-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-top-set-for-festive-events-image-2.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-top-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-top-set-for-festive-events-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-top-set-for-festive-events-image-3.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-top-set-for-festive-events-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-top-set-for-festive-events-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-top-set-for-festive-events-image-4.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-black-mirror-lehenga-choli-with-dupatta-for-receptions-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-black-mirror-lehenga-choli-with-dupatta-for-receptions-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-black-mirror-lehenga-choli-with-dupatta-for-receptions-image-4.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (188 after vs 853 before).
luxemia-black-mirror-lehenga-choli-with-dupatta-for-receptions-image-5.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-black-mirror-lehenga-choli-with-dupatta-for-receptions-image-5.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-black-mirror-lehenga-choli-with-dupatta-for-receptions-image-5.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (121495 after vs 71395 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (120565 after vs 109732 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-mirror-pre-draped-saree-with-blouse-for-receptions-image-3.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122102 after vs 111453 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-moti-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-moti-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-moti-pre-draped-saree-with-blouse-for-weddings-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (118091 after vs 80736 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-moti-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-moti-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-moti-pre-draped-saree-with-blouse-for-weddings-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (110365 after vs 77275 before). Warning: large mask area; inspect for garment/background distortion.
