Product Handle,Image Position,Source Local Path,Original Filename,Public Folder Path,Public Filename,Public URL,Copied Yes/No,Approved Source,Notes
luxemia-grey-moti-sharara-suit-for-festive-events,2,luxemia_supplier_CLEANED_IMAGES/luxemia-grey-moti-sharara-suit-for-festive-events-image-3.jpg,luxemia-grey-moti-sharara-suit-for-festive-events-image-3.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-grey-moti-sharara-suit-for-festive-events-image-3.jpg,luxemia-grey-moti-sharara-suit-for-festive-events-image-3.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-grey-moti-sharara-suit-for-festive-events-image-3.jpg,Yes,cleaned_image_audit approved,
luxemia-yellow-stone-palazzo-set-for-festive-events,1,luxemia_supplier_CLEANED_IMAGES/luxemia-yellow-stone-palazzo-set-for-festive-events-image-1.jpg,luxemia-yellow-stone-palazzo-set-for-festive-events-image-1.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-yellow-stone-palazzo-set-for-festive-events-image-1.jpg,luxemia-yellow-stone-palazzo-set-for-festive-events-image-1.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-yellow-stone-palazzo-set-for-festive-events-image-1.jpg,Yes,cleaned_image_audit approved,
luxemia-yellow-stone-palazzo-set-for-festive-events,2,luxemia_supplier_CLEANED_IMAGES/luxemia-yellow-stone-palazzo-set-for-festive-events-image-2.jpg,luxemia-yellow-stone-palazzo-set-for-festive-events-image-2.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-yellow-stone-palazzo-set-for-festive-events-image-2.jpg,luxemia-yellow-stone-palazzo-set-for-festive-events-image-2.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-yellow-stone-palazzo-set-for-festive-events-image-2.jpg,Yes,cleaned_image_audit approved,
luxemia-rust-handwork-anarkali-suit-for-festive-events,1,luxemia_supplier_CLEANED_IMAGES/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-1.jpg,luxemia-rust-handwork-anarkali-suit-for-festive-events-image-1.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-1.jpg,luxemia-rust-handwork-anarkali-suit-for-festive-events-image-1.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-1.jpg,Yes,cleaned_image_audit approved,
luxemia-rust-handwork-anarkali-suit-for-festive-events,2,luxemia_supplier_CLEANED_IMAGES/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-2.jpg,luxemia-rust-handwork-anarkali-suit-for-festive-events-image-2.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-2.jpg,luxemia-rust-handwork-anarkali-suit-for-festive-events-image-2.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-2.jpg,Yes,cleaned_image_audit approved,
luxemia-rust-handwork-anarkali-suit-for-festive-events,3,luxemia_supplier_CLEANED_IMAGES/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-3.jpg,luxemia-rust-handwork-anarkali-suit-for-festive-events-image-3.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-3.jpg,luxemia-rust-handwork-anarkali-suit-for-festive-events-image-3.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-3.jpg,Yes,cleaned_image_audit approved,
luxemia-rust-handwork-anarkali-suit-for-festive-events,4,luxemia_supplier_CLEANED_IMAGES/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-4.jpg,luxemia-rust-handwork-anarkali-suit-for-festive-events-image-4.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-4.jpg,luxemia-rust-handwork-anarkali-suit-for-festive-events-image-4.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-rust-handwork-anarkali-suit-for-festive-events-image-4.jpg,Yes,cleaned_image_audit approved,
luxemia-pink-sequined-gown-for-festive-events,1,luxemia_supplier_CLEANED_IMAGES/luxemia-pink-sequined-gown-for-festive-events-image-1.jpg,luxemia-pink-sequined-gown-for-festive-events-image-1.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-pink-sequined-gown-for-festive-events-image-1.jpg,luxemia-pink-sequined-gown-for-festive-events-image-1.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-pink-sequined-gown-for-festive-events-image-1.jpg,Yes,cleaned_image_audit approved,
luxemia-pink-sequined-gown-for-festive-events,2,luxemia_supplier_CLEANED_IMAGES/luxemia-pink-sequined-gown-for-festive-events-image-2.jpg,luxemia-pink-sequined-gown-for-festive-events-image-2.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-pink-sequined-gown-for-festive-events-image-2.jpg,luxemia-pink-sequined-gown-for-festive-events-image-2.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-pink-sequined-gown-for-festive-events-image-2.jpg,Yes,cleaned_image_audit approved,
luxemia-pink-sequined-gown-for-festive-events,3,luxemia_supplier_CLEANED_IMAGES/luxemia-pink-sequined-gown-for-festive-events-image-3.jpg,luxemia-pink-sequined-gown-for-festive-events-image-3.jpg,luxemiashop-checkout/public/catalog-clean/lapink-new-arrivals/luxemia-pink-sequined-gown-for-festive-events-image-3.jpg,luxemia-pink-sequined-gown-for-festive-events-image-3.jpg,https://luxemia.shop/catalog-clean/lapink-new-arrivals/luxemia-pink-sequined-gown-for-festive-events-image-3.jpg,Yes,cleaned_image_audit approved,
