Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost,Included / International,Price / International,Compare At Price / International,Status
chinon-silk-orange-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,44,,Orange,,,LXM-390096-44,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
fendy-silk-grey-party-wear-embroidery-work-readymade-plazzo-suit,Fendy Silk Grey Party Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, embroidery-work, ethnic-suit, fendy-silk, free-shipping, grey, indian-ethnic-wear, indian-suit, luxemia, party-wear, wedding-suit",TRUE,Size,40,Color,Grey,,,LXM-390024-40,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,FALSE,Fendy Silk Grey Party Wear Embroidery Work Readymade Pala...,Shop this Grey Fendy Silk wedding suit for party wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
fendy-silk-grey-party-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,42,,Grey,,,LXM-390024-42,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,,,,,kg,,,,,,
fendy-silk-grey-party-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,44,,Grey,,,LXM-390024-44,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-blue-wedding-wear-embroidery-work-readymade-plazzo-suit,Georgette Blue Wedding Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"blue, bridal-suit, embroidery-work, ethnic-suit, free-shipping, georgette, indian-ethnic-wear, indian-suit, luxemia, wedding-suit, wedding-wear",TRUE,Size,40,Color,Blue,,,LXM-390022-40,,shopify,10,deny,manual,108.59,,TRUE,TRUE,,,,,FALSE,Georgette Blue Wedding Wear Embroidery Work Readymade Pal...,Shop this Blue Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
georgette-blue-wedding-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,42,,Blue,,,LXM-390022-42,,shopify,10,deny,manual,108.59,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-lavender-wedding-wear-embroidery-work-readymade-plazzo-suit,Georgette Lavender Wedding Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, embroidery-work, ethnic-suit, free-shipping, georgette, indian-ethnic-wear, indian-suit, lavender, luxemia, wedding-suit, wedding-wear",TRUE,Size,40,Color,Lavender,,,LXM-390021-40,,shopify,10,deny,manual,108.59,,TRUE,TRUE,,,,,FALSE,Georgette Lavender Wedding Wear Embroidery Work Readymade...,Shop this Lavender Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
georgette-lavender-wedding-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,42,,Lavender,,,LXM-390021-42,,shopify,10,deny,manual,108.59,,TRUE,TRUE,,,,,,,,,kg,,,,,,
shimmer-silk-beige-occasional-wear-mirror-work-readymade-plazzo-suit,Shimmer Silk Beige Occasional Wear Mirror Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"beige, bridal-suit, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, mirror-work, occasional-wear, shimmer-silk, wedding-suit",TRUE,Size,40,Color,Beige,,,LXM-389855-40,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,FALSE,Shimmer Silk Beige Occasional Wear Mirror Work Readymade ...,Shop this Beige Shimmer Silk wedding suit for occasional wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
shimmer-silk-beige-occasional-wear-mirror-work-readymade-plazzo-suit,,,,,,,,,42,,Beige,,,LXM-389855-42,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,,,,,kg,,,,,,
